,app_name,price,rating_count,rating,category
51,HotSchedules,2.99,3292,3.0,Business
52,Star Walk - Find Stars And Planets in Sky Above,4.99,8932,4.5,Education
53,"The Weather Channel: Forecast, Radar & Alerts",0.0,495626,3.5,Weather
54,Big Day - Event Countdown,0.99,812,3.0,Lifestyle
55,12 Steps AA Companion - Alcoholics Anonymous,2.99,1583,3.5,Lifestyle
56,OpenTable - Restaurant Reservations,0.0,113936,4.5,Food & Drink
57,VLC Remote,4.99,2027,4.0,Entertainment
58,gFlashPro - Flashcards & Tests,3.99,768,4.0,Education
59,Lose It! – Weight Loss Program and Calorie Counter,0.0,373835,4.0,Health & Fitness
60,Target,0.0,108131,3.0,Shopping
61,Fish Tycoon,0.99,18943,3.5,Games
62,"Amazon App: shop, scan, compare, and read reviews",0.0,126312,3.5,Shopping
63,Touchgrind,4.99,35735,4.0,Games
64,ProPresenter Remote,4.99,410,3.0,Utilities
65,iReal Pro - Music Book & Play Along,12.99,1390,4.5,Entertainment
66,NRJ Radio,0.0,38,3.5,Entertainment
67,Chase Mobile℠,0.0,233270,4.5,Finance
68,大辞林,21.99,64,4.5,Books & Reference
69,Allrecipes Dinner Spinner,0.0,109349,3.5,Food & Drink
70,新浪新闻-阅读最新时事热门头条资讯视频,0.0,2229,3.5,News
71,MotionX GPS,1.99,14970,3.5,Navigation
72,AccuWeather - Weather for Life,0.0,144214,3.5,Weather
73,"Mint: Personal Finance, Budget, Bills & Money",0.0,232940,4.0,Finance
74,ABC News - US & World News + Live Video,0.0,48407,3.0,News
75,Rowmote: Remote Control for Mac,0.99,5531,3.5,Utilities
76,Peekaboo Barn,1.99,3393,4.0,Education
77,Speedtest by Ookla,0.0,65016,3.5,Utilities
78,Pocket God,0.99,187529,4.0,Entertainment
79,Nike+ Training Club - Workouts & Fitness Plans,0.0,33969,3.5,Health & Fitness
80,Citi Mobile®,0.0,48822,3.5,Finance
81,Phase 10 Pro - Play Your Friends!,1.99,59155,4.5,Games
82,"Kindle – Read eBooks, Magazines & Textbooks",0.0,252076,3.5,Books & Reference
83,MASH,1.99,4913,4.0,Games
84,同花顺-炒股、股票,0.0,1744,3.5,Finance
85,Wedding Dash Deluxe,0.99,16567,4.5,Games
86,Beer Pong Game,0.0,187315,2.0,Games
87,Tempo - Metronome with Setlists,2.99,4781,4.5,Entertainment
88,Skat,3.99,94,4.5,Games
89,Color Splash,0.99,29554,4.0,Photo & Video
90,Zombieville USA,0.99,32988,4.0,Games
91,Skype for iPhone,0.0,373519,3.5,Social Networking
92,Tumblr,0.0,334293,4.0,Social Networking
93,iSwap Faces,1.99,2302,3.5,Photo & Video
94,Match™ - #1 Dating App.,0.0,60659,3.0,Social Networking
95,Tozzle - Toddler's favorite puzzle,2.99,2562,4.0,Games
96,HomeBudget with Sync,4.99,3042,3.5,Finance
97,Wind Meter,0.99,338,2.5,Weather
98,Map My Run+ - GPS Running & Workout Tracker,2.99,16434,4.5,Health & Fitness
99,Map My Ride+ - GPS Cycling & Route Tracker,2.99,10046,4.5,Health & Fitness
100,"HuffPost - News, Politics & Entertainment",0.0,29107,3.0,News
101,Phrase Party!,1.99,878,4.0,Games
102,Minesweeper Classic,0.99,1140,3.5,Games
103,Sally's Spa,2.99,35074,4.5,Games
104,"CBS Sports App - Sports Scores, News, Stats, Watch",0.0,59639,3.0,Sports
105,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,4.99,2913,4.0,Health & Fitness
106,iSwap Faces LITE,0.0,39722,3.0,Photo & Video
107,DIRECTV,0.0,81006,3.5,Entertainment
108,NYTimes Crossword - Daily Word Puzzle Game,0.0,53465,3.5,Games
109,Doodle Jump,0.99,395261,4.5,Games
110,LEDit – The LED Banner App,1.99,2021,4.5,Utilities
111,niconico,0.0,182,3.0,Entertainment
112,Fandango Movies - Times + Tickets,0.0,291787,4.0,Entertainment
113,iCab Mobile (Web Browser),1.99,2441,4.0,Utilities
114,iRagdoll - Ragdoll Physics,0.99,1372,4.0,Games
115,Proloquo2Go - Symbol-based AAC,249.99,773,4.0,Education
116,Dictionary.com Dictionary & Thesaurus,0.0,200047,4.0,Books & Reference
117,20 Minutes.fr - l'actualité en continu,0.0,112,3.5,News
118,The Masters Tournament,0.0,148160,4.5,Sports
119,myAT&T,0.0,108507,3.0,Utilities
120,SFR TV,0.0,46,3.0,Entertainment
121,"Shutterfly: Prints, Photo Books, Cards Made Easy",0.0,51427,4.0,Photo & Video
122,StickWars,0.99,53821,3.5,Games
123,Indeed Job Search,0.0,38681,4.0,Business
124,World Cup Table Tennis™,0.99,17776,4.0,Games
125,WhatsApp Messenger,0.0,287589,4.5,Social Networking
126,"iStudiez Pro – Homework, Schedule, Grades",2.99,7308,4.0,Productivity
127,Zillow Real Estate - Homes for Sale & for Rent,0.0,342969,4.5,Lifestyle
128,2XL Supercross,4.99,6093,4.0,Games
129,Pocket Tanks Deluxe,4.99,5452,4.5,Games
130,Wells Fargo Mobile,0.0,43064,3.0,Finance
131,radio.de - Der Radioplayer,0.0,64,4.5,Entertainment
132,AutoScout24 - mobile used & new car market,0.0,220,4.5,Productivity
133,Sky Burger - Build & Match Food Free,0.0,114096,4.5,Games
134,MindNode – Delightful Mind Mapping,9.99,1296,4.0,Productivity
135,Packing Pro,2.99,1293,4.0,Travel
136,USAA Mobile,0.0,19946,4.0,Finance
137,The Moron Test,0.0,88613,4.0,Entertainment
138,Sunday Lawn,0.99,107727,3.5,Games
139,Peggle Classic,0.99,21416,4.5,Games
140,SmartGo Player,2.99,533,4.0,Games
141,I Am T-Pain 2.0,2.99,32650,3.5,Entertainment
142,TextNow - Unlimited Text + Calls,0.0,164963,3.5,Social Networking
143,Boating Weather,1.99,141,3.0,Weather
144,Best Buy,0.0,80424,4.0,Shopping
145,I Dig It,0.99,17190,4.0,Games
146,Unblock Me,0.99,7973,4.0,Games
147,Sonic The Hedgehog,2.99,19621,4.0,Games
148,10 Pin Shuffle Pro Bowling,3.99,7315,4.0,Games
149,Sky News,0.0,118,3.0,News
150,"ESPN: Get scores, news, alerts & watch live sports",0.0,290996,3.5,Sports
151,LiveATC Air Radio,3.99,2785,4.0,Travel
152,The Sims 3,6.99,54408,3.5,Games
153,"Chess Pro with Coach - Learn,Play & Online Friends",9.99,8138,4.0,Games
154,Guess My Age  Math Magic,0.0,123190,3.0,Education
155,Crush the Castle,0.99,23810,3.5,Games
156,2016 U.S. Open Golf Championship,0.0,54192,4.0,Sports
157,"The Championships, Wimbledon 2016 - Tennis Grand Slam",0.0,20953,4.0,Sports
158,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,9.99,71609,4.5,Entertainment
159,NBC News,0.0,32881,3.5,News
160,"Grindr - Gay and same sex guys chat, meet and date",0.0,23201,2.5,Social Networking
161,Whole Foods Market,0.0,17906,3.0,Shopping
162,NAVIGON Europe,74.99,927,3.5,Navigation
163,Virtual Families,1.99,18920,3.5,Games
164,Sparkasse+,0.99,30,3.0,Finance
165,Sparkasse - Your mobile branch,0.0,77,3.0,Finance
166,Sleep Cycle alarm clock,0.0,104539,4.5,Health & Fitness
167,FACEinHOLE®,0.99,4016,4.0,Photo & Video
168,Harvest - Select the Best Produce,1.99,299,4.0,Food & Drink
169,WORMS,1.99,5758,4.0,Games
170,Pixel Starships™ : 8Bit MMORPG,0.0,5565,4.5,Games
171,Traffic Rush,0.99,213092,3.5,Games
172,MyRadar NOAA Weather Radar Forecast,0.0,150158,4.5,Weather
173,Resident Evil 4: PLATINUM,4.99,6046,4.0,Games
174,"Waze - GPS Navigation, Maps & Real-time Traffic",0.0,345046,4.5,Navigation
175,Cartoon Wars,0.99,35930,3.5,Games
176,Moto X Mayhem,0.99,22557,4.0,Games
177,Fantasy Football Manager - FFM for FPL,0.99,292,3.0,Sports
178,Spotify Music,0.0,878563,4.5,Entertainment
179,McDo France,0.0,22,3.5,Food & Drink
180,PGA Championship 2016 – Baltusrol Golf Club,0.0,10472,3.5,Sports
181,BFMTV : l'info en continu,0.0,115,4.0,News
182,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",1.99,13915,4.5,Weather
183,Spider:  The Secret of Bryce Manor,1.99,6780,4.0,Games
184,My Measures PRO,7.99,1701,4.0,Productivity
185,Food Additives Checker (E Numbers),1.99,6,3.5,Health & Fitness
186,SFR Mon Compte,0.0,19,3.0,Utilities
187,Baby Connect (Activity Log),4.99,3483,4.5,Medical
188,Epson iPrint,0.0,2838,3.0,Photo & Video
189,Mad Libs,0.0,117889,3.0,Entertainment
190,BATTLE BEARS: Zombies!,0.99,50710,3.5,Games
191,Hurricane Tracker,2.99,3960,4.5,Weather
192,NFL Sunday Ticket,0.0,24258,3.0,Entertainment
193,2016 US Open Tennis Championships,0.0,37522,4.0,Sports
194,Dropbox,0.0,49578,3.5,Productivity
195,Wa Kingyo - Goldfish Pond,0.99,626,4.0,Entertainment
196,Monkey Preschool Lunchbox,1.99,9286,4.0,Games
197,Yahoo Fantasy Sports,0.0,190670,3.5,Sports
198,Gaia GPS Classic,19.99,2429,4.5,Navigation
199,iLoan Calc (Loan calculator),3.99,0,0.0,Finance
200,Geocaching®,0.0,12811,3.5,Navigation
201,Camera+,1.99,32338,4.0,Photo & Video
202,Alter Ego,4.99,262,4.0,Games
203,Parking Mania,0.99,9657,4.5,Games
204,Sudoku⁺,2.99,18332,4.5,Games
205,Period Tracker Lite,0.0,53620,4.0,Health & Fitness
206,Camera Plus: For Macro Photos & Remote Photography,0.99,38533,2.5,Photo & Video
207,The perfect Egg timer,0.99,40,3.5,Food & Drink
208,Letter Quiz - alphabet tracing for kids,1.99,472,4.0,Games
209,Starbucks,0.0,303856,4.5,Food & Drink
210,央视影音-海量央视内容高清直播,0.0,2070,2.5,Sports
211,Bloons TD,2.99,7941,4.0,Games
212,Weight Watchers,0.0,136833,3.5,Health & Fitness
213,"CNN: Breaking US & World News, Live Video",0.0,112886,3.5,News
214,Gilt,0.0,26353,3.5,Shopping
215,TRUTH or DARE!!! - FREE,0.0,171055,3.0,Entertainment
216,Canabalt,2.99,4540,4.0,Games
217,Alipay - Makes Life Easy,0.0,1926,3.0,Lifestyle
218,Scanner911 Pro,3.99,14345,4.0,News
219,Daily Teachings,4.99,1340,4.5,Lifestyle
220,Scanner Pro - PDF document scanner app with OCR,3.99,31912,4.5,Business
221,Twitter,0.0,354058,3.5,News
222,"Trainline UK: Live Train Times, Tickets & Planner",0.0,248,4.0,Travel
223,CBS News - Watch Free Live Breaking News,0.0,11691,3.5,News
224,iOvilus,1.99,381,3.0,Entertainment
225,The Impossible Quiz!,0.0,18884,4.0,Entertainment
226,WolframAlpha,2.99,7410,4.0,Books & Reference
227,Catan,1.99,15175,4.0,Games
228,ScanBizCards Business Card Reader,0.99,3166,4.0,Business
229,"Walgreens – Pharmacy, Photo, Coupons and Shopping",0.0,88885,4.5,Shopping
230,King of Dragon Pass,9.99,882,5.0,Games
231,Stylebook,3.99,1729,4.0,Lifestyle
232,NBA,0.0,43682,3.5,Sports
233,Blower,0.99,861,2.0,Entertainment
234,My Cycles Period and Ovulation Tracker,0.0,7469,3.5,Health & Fitness
235,"Kmart – Download Now, Shop Online & Pick Up Today!",0.0,4186,3.5,Shopping
236,优酷视频,0.0,4885,3.5,Entertainment
237,DOOM Classic,4.99,3970,4.0,Games
238,SoundCloud - Music & Audio,0.0,135744,4.0,Entertainment
239,imo video calls and chat,0.0,18841,4.0,Social Networking
240,Plane Finder - Flight Tracker,3.99,1438,4.0,Navigation
241,"Runtastic Running, Jogging and Walking Tracker",0.0,10298,4.5,Health & Fitness
242,iFiles,0.99,1842,3.5,Productivity
243,TeachMe: Kindergarten,1.99,2548,4.0,Education
244,Moorhuhn Deluxe - Crazy Chicken,0.99,319,3.0,Games
245,Victoria’s Secret – The Sexiest Bras & Lingerie,0.0,34507,3.5,Shopping
246,MONOPOLY Game,0.99,26482,3.5,Games
247,n-tv Nachrichten,0.0,273,3.0,News
248,Shazam Encore,2.99,8331,4.0,Entertainment
249,Harry Potter: Spells,0.99,17023,4.0,Games
250,First Words Deluxe,4.99,1101,4.0,Games
251,Clay Hunt,0.99,1193,4.0,Games
252,Dream Team - be your own fantasy football manager,0.0,35,2.5,Sports
253,Jet Car Stunts,1.99,4088,4.0,Games
254,Call of Duty: Zombies,4.99,63943,4.0,Games
255,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",0.0,70286,3.0,Shopping
256,AirWatch Agent,0.0,1150,2.5,Business
257,Shop Savvy Barcode Scanner - Price Compare & Deals,0.0,54630,2.5,Shopping
258,Voice Changer Plus,0.0,98777,3.0,Entertainment
259,CatPaint,0.99,649,4.0,Photo & Video
260,Redbox,0.0,60236,3.0,Entertainment
261,クックパッド - No.1料理レシピ検索アプリ,0.0,115,3.5,Food & Drink
262,Trenches,0.99,26732,4.0,Games
263,The Christmas List,1.99,2722,4.5,Shopping
264,Macy's,0.0,11013,3.5,Shopping
265,Calorie Counter & Diet Tracker by MyFitnessPal,0.0,507706,4.5,Health & Fitness
266,BlaBlaCar - Trusted Carpooling,0.0,397,4.5,Travel
267,Refills Calendar - Scheduler - Note,9.99,196,4.0,Productivity
268,5-0 Radio Pro Police Scanner (Extra Feeds),3.99,24553,4.0,News
269,Hipstamatic,2.99,12557,3.5,Photo & Video
270,Sing Karaoke Songs Unlimited with StarMaker,0.0,26227,4.0,Entertainment
271,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,4.99,28388,5.0,Business
272,Positivity with Andrew Johnson,2.99,282,4.0,Health & Fitness
273,Rat On A Scooter XL,0.99,19296,4.0,Games
274,IMDb Movies & TV - Trailers and Showtimes,0.0,183425,4.5,Entertainment
275,Angry Birds,0.0,824451,4.5,Games
276,DB Navigator,0.0,512,3.5,Travel
277,Video Calls with Santa,2.99,315,3.5,Lifestyle
278,Voyages-sncf.com : book train and bus tickets,0.0,268,3.5,Travel
279,The Font Game,1.99,438,4.5,Games
280,ImmobilienScout24: Real Estate Search in Germany,0.0,187,3.5,Navigation
281,Grand Theft Auto: Chinatown Wars,4.99,15142,4.0,Games
282,Southwest Airlines,0.0,30552,3.0,Travel
283,The Sims 3 World Adventures,2.99,9744,3.5,Games
284,Star Chart,0.0,13482,4.5,Education
285,TaxCaster – Free tax refund calculator,0.0,17516,3.5,Finance
286,Glow Hockey 2 FREE,0.0,186653,3.5,Games
287,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",0.99,10031,4.0,Entertainment
288,TV SPIELFILM - TV Programm mit Live TV,0.0,81,3.0,Entertainment
289,All-in-1 Logic GameBox,0.99,9854,4.0,Games
290,Roadside America,2.99,1093,4.0,Travel
291,Pocket Yoga,2.99,4475,4.5,Health & Fitness
292,Sonic the Hedgehog 2,2.99,9405,4.0,Games
293,Simply Being - Guided Meditation for Relaxation and Presence,1.99,2417,4.5,Health & Fitness
294,CamCard - Business card scanner & reader,0.99,2923,4.5,Business
295,This American Life,2.99,8657,3.5,Entertainment
296,Timetracks - Slit-Scan Camera,0.99,70,2.0,Photo & Video
297,franceinfo - l'actualité & les élections en direct,0.0,162,4.0,News
298,DOUBUTSU URANAI®-Animal Fortune-,0.99,5,4.0,Lifestyle
299,Doodle Army,0.99,12354,4.0,Games
300,Ameba,0.0,269,3.0,Social Networking
301,eBook: War and Peace,3.99,0,0.0,Books & Reference
302,Plants vs. Zombies,0.99,426463,5.0,Games
303,Weibo,0.0,7265,3.5,Social Networking
304,大众点评-发现品质生活,0.0,844,4.0,Lifestyle
305,AlloCiné : Cinéma et Séries,0.0,101,4.0,Entertainment
306,"Badoo - Meet New People, Chat, Socialize.",0.0,34428,4.5,Social Networking
307,Flick Kick Field Goal,1.99,36946,4.5,Games
308,Venmo,0.0,21090,4.5,Finance
309,"Dungeons & Such Treasures,Collectibles and Dragons",2.99,653,4.5,Games
310,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",3.99,1118,4.5,Education
311,Shift Worker,1.99,348,4.0,Productivity
312,"Spy Calc - Hide pictures, videos, documents",1.99,207,3.5,Utilities
313,Waterlogged - Daily Hydration Tracker,0.0,5000,4.5,Health & Fitness
314,MyNetDiary PRO - Calorie Counter and Food Diary,3.99,15188,4.5,Health & Fitness
315,The Washington Post Classic,0.0,18572,4.5,News
316,F-Sim Space Shuttle,4.99,6403,4.5,Games
317,"Groupon - Deals, Coupons & Discount Shopping App",0.0,417779,4.5,Shopping
318,Learn to Speak Spanish Fast With MosaLingua,4.99,9,5.0,Education
319,"Coaster VR, Extreme Endless 3D Stereograph",0.99,107,2.5,Entertainment
320,Parents Calling Easter Bunny,1.99,72,2.0,Lifestyle
321,Sporcle,2.99,2044,3.5,Games
322,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0.0,16683,3.5,Sports
323,DOOM II RPG,0.99,1455,3.0,Games
324,STREET FIGHTER IV,4.99,15056,4.0,Games
325,Dr. Seuss Camera - The Cat in the Hat Edition,0.99,249,4.5,Photo & Video
326,FINAL FANTASY,7.99,6091,4.0,Games
327,FINAL FANTASY II,7.99,2754,4.0,Games
328,Worms 2: Armageddon,4.99,9870,4.5,Games
329,SoundHound Song Search & Music Player,0.0,82602,4.0,Entertainment
330,Jourist Weltübersetzer,7.99,0,0.0,Travel
331,TeachMe: 1st Grade,1.99,762,4.0,Education
332,TeachMe: 3rd Grade,1.99,160,4.0,Education
333,ヤフオク! 利用者数NO.1のオークション、フリマアプリ,0.0,9,3.0,Shopping
334,Kik,0.0,260965,4.0,Social Networking
335,Slow Shutter Cam,1.99,2305,4.0,Photo & Video
336,PeakFinder Earth,4.99,137,4.0,Travel
337,AgingBooth,0.0,11999,4.0,Entertainment
338,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",1.99,1995,4.5,Photo & Video
339,Tabs & Chords by Ultimate Guitar - learn and play,2.99,35045,4.5,Entertainment
340,"Dude, your car!",0.99,343,4.0,Entertainment
341,Drawing Pad,1.99,1824,4.0,Entertainment
342,ESPN Tournament Challenge,0.0,39642,4.0,Sports
343,Solitaire,0.0,679055,4.5,Games
344,Notability,9.99,17594,4.0,Productivity
345,Rubik's® Cube,1.99,3531,4.0,Games
346,Super Why! Power to Read,3.99,1080,3.5,Education
347,Amex Mobile,0.0,11421,4.0,Finance
348,Fruit Ninja Classic,1.99,698516,4.5,Games
349,Animation Creator HD,3.99,4497,4.0,Entertainment
350,Plants vs. Zombies HD,0.99,163598,5.0,Games
351,SCRABBLE Premium for iPad,9.99,39678,3.5,Games
352,Graphic - illustration and design,8.99,1809,4.5,Productivity
353,Ship Finder,4.99,624,3.5,Navigation
354,Photogene ⁴,2.99,3761,4.5,Photo & Video
355,Hurricane HD,3.99,353,4.0,Weather
356,Star Walk HD - Night Sky Map,4.99,6503,4.5,Education
357,Space War HD,0.99,71,3.0,Games
358,Netflix,0.0,308844,3.5,Entertainment
359,forScore,9.99,3909,4.5,Entertainment
360,ComicGlass [ComicReader],2.99,308,4.5,Utilities
361,iAnnotate PDF,9.99,11156,4.5,Productivity
362,ArtStudio for iPad - Draw Sketch and Paint,4.99,8542,4.5,Photo & Video
363,Call of Duty: Zombies HD,4.99,5853,3.5,Games
364,Small World 2,1.99,1506,4.0,Games
365,Qzone,0.0,1649,3.5,Social Networking
366,ABC – Watch Live TV & Stream Full Episodes,0.0,78890,3.0,Entertainment
367,Fieldrunners for iPad,3.99,2147,4.0,Games
368,Angry Birds HD,0.0,89110,4.5,Games
369,"The Weather Channel App for iPad – best local forecast, radar map, and storm tracking",0.0,208648,4.0,Weather
370,Do Not Press The Red Button HD,1.99,856,2.5,Entertainment
371,"Digits, the calculator for humans",3.99,7825,4.5,Productivity
372,"PDF Reader Pro Edition - Annotate,edit & sign PDFs",9.99,7033,4.0,Business
373,National Geographic World Atlas,1.99,4255,4.0,Books & Reference
374,FileBrowser - Access files on remote computers,5.99,3230,4.5,Utilities
375,Dictionary.com Dictionary & Thesaurus for iPad,0.0,54175,4.5,Books & Reference
376,Animation & Drawing by Do Ink,4.99,308,4.0,Education
377,AirCoaster - Roller Coaster Builder,0.99,2602,3.0,Games
378,"Documents 6 - File manager, PDF reader and browser",0.0,29110,4.5,Productivity
379,The World Factbook for iPad,1.99,273,3.5,Books & Reference
380,Photo Transfer App - Easy backup of photos+videos,0.0,15654,4.5,Photo & Video
381,TwitCasting Viewer - Watch Live Video & Radio,0.0,189,2.5,Entertainment
382,Ski Tracks,0.99,829,4.5,Navigation
383,The Photographer's Ephemeris,8.99,663,5.0,Photo & Video
384,▻Sudoku,0.0,359832,4.5,Games
385,"StubHub - Tickets to Sports, Concerts and Theatre",0.0,9011,3.5,Entertainment
386,"Runtastic PRO Running, Jogging and Fitness Tracker",4.99,17667,4.5,Health & Fitness
387,OverDrive – Library eBooks and Audiobooks,0.0,65450,4.0,Books & Reference
388,Hotels & Vacation Rentals by Booking.com,0.0,31261,4.5,Travel
389,The Impossible Game,0.99,9885,4.0,Games
390,PrankDial - #1 Prank Call App,0.0,11091,3.0,Entertainment
391,Fox News,0.0,132703,4.0,News
392,Live Cams - HD,4.99,286,2.5,Travel
393,QR Reader for iPhone,0.0,12683,4.0,Utilities
394,Uber,0.0,49466,3.0,Travel
395,WEB.DE Mail,0.0,168,4.0,Productivity
396,iBunkoHD,6.99,114,4.0,Books & Reference
397,Hurricane Tracker For iPad,2.99,2798,4.5,Weather
398,"6play, TV en direct et en replay",0.0,62,3.5,Entertainment
399,AudioNote - Notepad and Voice Recorder,9.99,1756,4.0,Business
400,Breathing Zone: Guided Breathing for Mindfulness,3.99,511,4.5,Health & Fitness
401,My Virtual Girlfriend - Deluxe Dating Sim,0.99,2609,3.5,Games
402,Fake-A-Location Free ™,0.0,354,1.5,Social Networking
403,QQ 浏览器-搜新闻、选小说漫画、看视频,0.0,1750,3.5,Utilities
404,Math Ninja HD,1.99,1121,4.5,Games
405,Résultats Foot en Direct,0.0,339,4.5,Sports
406,Chase Mobile,0.0,34322,4.5,Finance
407,Captio - Email yourself with 1 tap,1.99,162,4.5,Productivity
408,My Vodafone,0.0,8,3.0,Utilities
409,Math Bingo,2.99,4386,4.5,Education
410,▻Sudoku +,4.99,5397,5.0,Games
411,"Tango - Free Video Call, Voice and Chat",0.0,75412,4.5,Social Networking
412,MeetMe - Chat and Meet New People,0.0,97072,4.0,Social Networking
413,WebMD for iPad,0.0,9142,3.5,Health & Fitness
414,GeoBee Challenge HD by National Geographic,1.99,1957,4.5,Games
415,"OPlayer HD - video player, classic media streaming",4.99,2944,4.0,Entertainment
416,TouchRetouch,1.99,588,4.0,Photo & Video
417,Cat Physics,1.99,40552,4.5,Games
418,随手记（专业版）-好用的记账理财工具,0.99,1267,4.5,Finance
419,AnkiMobile Flashcards,24.99,753,4.0,Education
420,WeatherPro for iPad,2.99,725,4.0,Weather
421,Real英会話,3.99,45,4.5,Education
422,BATTLE BEARS -1,0.99,14910,4.0,Games
423,Crash Bandicoot Nitro Kart 2,2.99,3064,3.5,Games
424,WIRED Magazine,0.0,12074,2.5,News
425,Popplet,4.99,336,4.0,Productivity
426,Notes Plus,9.99,6257,4.0,Productivity
427,Color Splash for iPad,1.99,2445,4.5,Photo & Video
428,Robot Unicorn Attack,0.99,22150,4.0,Games
429,SimSimi,0.0,23530,4.0,Social Networking
430,Carcassonne,9.99,10846,4.5,Games
431,Apple Store,0.0,55171,3.5,Shopping
432,TED,0.0,5782,3.5,Education
433,Météo-France,0.0,24,3.5,Weather
434,Ma Banque,0.0,17,3.5,Finance
435,Doodle God™,1.99,35759,4.5,Games
436,Carnivores: Dinosaur Hunter Pro,2.99,18306,4.0,Games
437,Blackboard Mobile Learn™,0.0,13567,2.0,Education
438,"SEC Football Schedules, Scores & Radio",1.99,240,3.0,Sports
439,Hulu: Watch TV Shows & Stream the Latest Movies,0.0,56170,2.0,Entertainment
440,かなもじ,3.99,19,4.5,Education
441,恵方コンパス.,0.0,0,0.0,Navigation
442,360 Panorama,1.99,10463,4.5,Photo & Video
443,"Mega Millions & Powerball - lottery games in the US with winning number results, lotto jackpots and prize payouts",0.0,1255,4.5,Lifestyle
444,Cake Doodle,0.99,5803,4.0,Games
445,The Impossible Quiz! for iPad,1.99,227,4.0,Games
446,Boating USA,9.99,342,3.5,Navigation
447,Diptic,2.99,7578,4.5,Photo & Video
448,Family Feud™ HD,6.99,1156,3.5,Games
449,Edmodo,0.0,7197,3.5,Education
450,Auto Palmistry Premium,2.99,5,3.0,Entertainment
451,Drift Mania Championship,0.99,3432,3.0,Games
452,「宅建士」過去問題《受験用》,3.99,0,0.0,Education
